ReleaseDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20130924,06025,Imperial County,CA,1.66,98.34,89.63,0.00,0.00,0.00,2013-09-24,2013-09-30,1
20130917,06025,Imperial County,CA,1.66,98.34,89.63,0.00,0.00,0.00,2013-09-17,2013-09-23,1
20130910,06025,Imperial County,CA,0.00,100.00,98.28,77.57,0.00,0.00,2013-09-10,2013-09-16,1
20130903,06025,Imperial County,CA,0.00,100.00,98.28,77.57,0.00,0.00,2013-09-03,2013-09-09,1
20130827,06025,Imperial County,CA,0.00,100.00,96.61,77.57,0.00,0.00,2013-08-27,2013-09-02,1
20130820,06025,Imperial County,CA,0.00,100.00,96.61,77.57,0.00,0.00,2013-08-20,2013-08-26,1
20130813,06025,Imperial County,CA,0.00,100.00,96.61,77.57,0.00,0.00,2013-08-13,2013-08-19,1
20130806,06025,Imperial County,CA,0.00,100.00,96.61,77.57,0.00,0.00,2013-08-06,2013-08-12,1
20130730,06025,Imperial County,CA,0.00,100.00,96.61,77.57,0.00,0.00,2013-07-30,2013-08-05,1
20130723,06025,Imperial County,CA,0.00,100.00,96.65,81.63,0.00,0.00,2013-07-23,2013-07-29,1
20130716,06025,Imperial County,CA,0.00,100.00,96.65,81.63,0.00,0.00,2013-07-16,2013-07-22,1
20130709,06025,Imperial County,CA,0.00,100.00,96.65,81.63,0.00,0.00,2013-07-09,2013-07-15,1
20130702,06025,Imperial County,CA,0.00,100.00,96.65,81.63,0.00,0.00,2013-07-02,2013-07-08,1
20130625,06025,Imperial County,CA,0.00,100.00,96.53,80.62,0.00,0.00,2013-06-25,2013-07-01,1
20130618,06025,Imperial County,CA,0.00,100.00,96.53,80.62,0.00,0.00,2013-06-18,2013-06-24,1
20130611,06025,Imperial County,CA,0.00,100.00,96.53,80.62,0.00,0.00,2013-06-11,2013-06-17,1
20130604,06025,Imperial County,CA,0.00,100.00,96.54,80.28,0.00,0.00,2013-06-04,2013-06-10,1
20130528,06025,Imperial County,CA,0.00,100.00,96.54,80.19,0.00,0.00,2013-05-28,2013-06-03,1
20130521,06025,Imperial County,CA,0.00,100.00,96.54,80.19,0.00,0.00,2013-05-21,2013-05-27,1
20130514,06025,Imperial County,CA,0.00,100.00,96.54,80.19,0.00,0.00,2013-05-14,2013-05-20,1
20130507,06025,Imperial County,CA,0.00,100.00,96.54,80.19,0.00,0.00,2013-05-07,2013-05-13,1
